ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_GFP,Intensity_IntegratedIntensityEdge_Tubulin,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_Tubulin,Intensity_LowerQuartileIntensity_GFP,Intensity_LowerQuartileIntensity_Tubulin,Intensity_MADIntensity_GFP,Intensity_MADIntensity_Tubulin,Intensity_MassDisplacement_GFP,Intensity_MassDisplacement_Tubulin,Intensity_MaxIntensityEdge_GFP,Intensity_MaxIntensityEdge_Tubulin,Intensity_MaxIntensity_GFP,Intensity_MaxIntensity_Tubulin,Intensity_MeanIntensityEdge_GFP,Intensity_MeanIntensityEdge_Tubulin,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_Tubulin,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_Tubulin,Intensity_MinIntensityEdge_GFP,Intensity_MinIntensityEdge_Tubulin,Intensity_MinIntensity_GFP,Intensity_MinIntensity_Tubulin,Intensity_StdIntensityEdge_GFP,Intensity_StdIntensityEdge_Tubulin,Intensity_StdIntensity_GFP,Intensity_StdIntensity_Tubulin,Intensity_UpperQuartileIntensity_GFP,Intensity_UpperQuartileIntensity_Tubulin
1,1,2.67484550178051,16.00415065512061,38.63315784558654,253.7355647571385,0.017090104520320892,0.08032349497079849,0.0012207217514514923,0.031006328761577606,0.2399105727722295,4.446828607167043,0.024170290678739548,0.27856871485710144,0.02514686807990074,0.3356984853744507,0.018320859601236368,0.10961747024055213,0.018529092491888027,0.12169571451181702,0.018554970622062683,0.10644693672657013,0.01269550621509552,0.026367589831352234,0.011474784463644028,0.026367589831352234,0.0018962815731441492,0.05836517049151906,0.0019478312239765239,0.05692974343785983,0.019775692373514175,0.15503166615962982
1,2,2.530067902058363,9.176653772592545,32.184328977018595,180.5122784115374,0.018310826271772385,0.08422980457544327,0.0012207217514514923,0.024658579379320145,0.0018379447208483675,2.503838676632838,0.024414435029029846,0.1733424961566925,0.025879301130771637,0.2045929729938507,0.01946206078506433,0.07058964440455803,0.019660555270017466,0.11027017618297948,0.019775692373514175,0.11694514751434326,0.0156252384185791,0.020996414124965668,0.012451361864805222,0.020996414124965668,0.0018591592250892478,0.04359985959228352,0.0019525201880671438,0.03977906244589499,0.020996414124965668,0.13690394163131714
1,3,2.8249942772090435,15.05516156181693,38.11337452381849,232.8673261217773,0.018066681921482086,0.09814602881669998,0.0012207217514514923,0.018310829997062683,0.10116793504139487,1.4939899331377242,0.024414435029029846,0.22778667509555817,0.026123445481061935,0.26221102476119995,0.019482719153165816,0.10382870042632367,0.01945552553538463,0.11887050848482761,0.019531548023223877,0.11450370401144028,0.015136949717998505,0.0312504768371582,0.01269550621509552,0.029053177684545517,0.0020417725066163134,0.04940092123201559,0.0019655629505327767,0.037264406522500904,0.02075226977467537,0.13672083616256714
1,4,2.445105668157339,9.673487555235624,34.88871594518423,272.32715620845556,0.016601815819740295,0.08899061568081379,0.0012207217514514923,0.045654989778995514,0.0782815639034243,1.5670351455416551,0.02050812542438507,0.15356679260730743,0.02514686807990074,0.29175248742103577,0.017098641036065308,0.06764676612052885,0.017827652501371603,0.13915541962619088,0.017822537571191788,0.1439230963587761,0.012207217514514923,0.026611734181642532,0.012207217514514923,0.024658579379320145,0.001738011125793419,0.03203673698164653,0.0019003893893535498,0.06178864853511684,0.01904325932264328,0.18164339661598206
1,5,1.7890897989273071,12.437934007495642,13.33418783545494,87.8572987318039,0.017822537571191788,0.07476920820772648,0.0014648661017417908,0.05053787678480148,0.1634449234016255,2.6906376012612583,0.02539101243019104,0.252689391374588,0.02563515678048134,0.25879302620887756,0.019032870201354333,0.1323184468882515,0.019130829032216558,0.12605064380459668,0.01904325932264328,0.12256046384572983,0.013427939265966415,0.0319829098880291,0.013427939265966415,0.0319829098880291,0.0020700764104388224,0.0732558360128294,0.0019714658316182113,0.060501354966650996,0.02050812542438507,0.17792019248008728
1,6,2.0210269317030907,14.456275396049023,16.918715186417103,118.98912155628204,0.01757839322090149,0.08569467067718506,0.0012207217514514923,0.05114824324846268,0.2599052536015238,3.4251632266600485,0.024170290678739548,0.25903716683387756,0.02539101243019104,0.25903716683387756,0.018541531483514593,0.13262637978026626,0.018988456999345794,0.13354559097225818,0.01904325932264328,0.1274433583021164,0.01440451666712761,0.0317387655377388,0.01416037231683731,0.0317387655377388,0.0019483429445242635,0.08170119884453077,0.0019377684994159583,0.0614802877905674,0.020263981074094772,0.18530556559562683
1,7,2.5134660862386227,14.400854680687189,29.762661166489124,197.0713691189885,0.01757839322090149,0.08496223390102386,0.0012207217514514923,0.03674372658133507,0.02710192300783584,1.5836845138709081,0.023193713277578354,0.2741740942001343,0.029053177684545517,0.2741740942001343,0.01848136828116634,0.10588863735799403,0.018969191310700524,0.12560316706117816,0.01904325932264328,0.11731136217713356,0.011718928813934326,0.039063096046447754,0.011718928813934326,0.039063096046447754,0.001830919821839776,0.06087547322307579,0.0019735838650925914,0.04926220142680185,0.020263981074094772,0.16253910586237907
1,8,2.6924238950014114,13.007766973227262,40.46643777191639,287.32006139680743,0.017090104520320892,0.09936675429344177,0.0012207217514514923,0.0316166914999485,0.06011182601474474,1.2592255024919268,0.023193713277578354,0.22461280226707458,0.026611734181642532,0.28003355860710144,0.018069959026855112,0.08730044948474673,0.018402199987228918,0.1306594185524363,0.018310826271772385,0.12939651310443878,0.013427939265966415,0.037109941244125366,0.012207217514514923,0.037109941244125366,0.0018283193793095292,0.05181328135776776,0.0018625450466768344,0.04802888301517172,0.019531548023223877,0.16260014474391937
2,1,2.475135423243046,13.265095166862011,33.06569008156657,203.2157505005598,0.017090104520320892,0.08325322717428207,0.0012207217514514923,0.027832455933094025,0.17119105759404232,2.115157129042352,0.02221713587641716,0.18042267858982086,0.02514686807990074,0.20874342322349548,0.01819952517090475,0.09753746446222067,0.018410740579936843,0.1131490815704676,0.018554970622062683,0.11572442203760147,0.013183794915676117,0.03833066299557686,0.011963073164224625,0.03833066299557686,0.0017351907590883618,0.03862517602747201,0.0018278826327078215,0.0349690103163547,0.019531548023223877,0.13818570971488953
2,2,2.150423437356949,11.456962026655674,22.554543368518353,130.47269571572542,0.016845960170030594,0.0714732613414526,0.0014648661017417908,0.029053181409835815,0.3384535095366173,2.835113636687074,0.02514686807990074,0.2553749978542328,0.02563515678048134,0.2553749978542328,0.01837968749877734,0.09792275236457841,0.018441981495109037,0.1066824985410674,0.018310826271772385,0.10620279610157013,0.01269550621509552,0.02563515678048134,0.012451361864805222,0.02563515678048134,0.002316122834414057,0.0666751989275382,0.0021443255720492087,0.046913604381156354,0.019775692373514175,0.13238728046417236
